CSV_HEADERS,time,"SHED","HEATSINK","SAND","RESERVOIR","ROOF","AMBIENT","FOOTER","LOOP_PUMP","XFER_PUMP","HEATER_FAN","HEATER","FOOT_WARMER","",
CSV_VALUES, 2024/10/16 22:34,68.36,69.08,76.10,71.96,66.20,66.20,94.46,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:35,68.36,69.08,76.10,71.96,66.20,66.20,94.46,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:36,68.36,69.80,76.10,71.96,66.20,66.20,94.46,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:37,68.36,70.52,76.10,71.96,66.20,66.20,93.56,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:38,68.36,70.52,75.92,71.96,66.20,66.20,93.56,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:39,68.36,71.24,75.56,72.68,66.20,66.20,92.84,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:40,68.36,71.24,75.38,72.68,66.20,66.20,92.84,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:41,68.90,71.96,75.38,72.68,66.20,66.20,91.94,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:42,69.08,72.68,75.38,72.68,66.20,66.20,91.94,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:43,69.08,72.68,75.38,72.68,66.20,66.20,91.04,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:44,69.08,72.68,75.38,72.68,66.20,66.20,91.04,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:45,68.72,73.40,75.38,71.96,66.20,66.20,90.14,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:46,68.54,74.12,75.38,71.96,66.20,66.20,89.78,0,0,1,1,1,,
CSV_VALUES, 2024/10/16 22:47,69.08,74.84,75.38,71.96,66.20,66.20,89.24,0,0,0,0,1,,
CSV_VALUES, 2024/10/16 22:48,69.08,75.38,75.38,71.96,66.20,66.20,89.24,0,0,0,0,1,,
CSV_VALUES, 2024/10/16 22:49,69.08,75.38,75.38,71.96,66.20,66.20,89.24,0,0,0,0,1,,
CSV_VALUES, 2024/10/16 22:50,69.08,76.10,75.38,71.96,66.20,66.20,90.14,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:51,69.08,76.64,75.38,71.96,66.20,66.20,91.04,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:52,69.08,76.64,75.38,71.96,66.20,66.20,92.84,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:53,69.08,77.54,75.38,71.96,66.20,66.20,94.46,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:54,69.08,77.54,75.38,71.96,66.20,66.20,95.36,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:55,69.08,78.44,75.38,71.96,66.20,66.20,96.08,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:56,69.08,78.44,75.38,71.96,66.20,66.20,96.08,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:57,69.08,78.44,75.38,71.96,66.20,66.20,96.08,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 22:58,68.90,78.98,75.38,71.96,66.20,66.20,96.08,0,0,1,1,0,,
CSV_VALUES, 2024/10/16 22:59,69.08,79.16,75.38,71.96,66.20,66.20,96.08,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 23:00,69.08,79.16,75.38,71.96,66.20,66.20,95.36,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 23:01,69.08,78.44,75.38,71.96,66.20,66.20,95.36,0,0,0,0,0,,
CSV_VALUES, 2024/10/16 23:02,69.08,78.44,75.38,71.96,66.92,66.92,94.46,0,0,0,0,0,,
